"","country","le","hale","the","gdp","yld","the.gdp"
"1","AUT",80.612,69.134,4517,41893,11.48,10.78
"2","BEL",79.531,68.542,4058,39258,10.99,10.34
"3","BGR",73.526,64.103,1088,15084,9.42,7.21
"4","CYP",80.226,68.825,2284,33958,11.4,6.73
"5","CZE",77.523,67.243,1930,27070,10.28,7.13
"6","DEU",80.232,69.019,4426,39639,11.21,11.17
"7","DNK",78.911,67.871,4545,41836,11.04,10.86
"8","ESP",81.354,70.92,3026,32373,10.43,9.35
"9","FIN",80.087,67.304,3297,38323,12.78,8.6
"10","FRA",80.927,69.484,4039,35891,11.44,11.25
"11","GBR",79.906,68.624,3223,35880,11.28,8.98
"12","GRC",79.582,68.668,2685,28981,10.91,9.26
"13","IRL",79.926,68.868,3796,43250,11.06,8.78
"14","ITA",81.47,70.17,3162,34740,11.3,9.1
"15","LUX",80.169,68.433,6521,84590,11.74,7.71
"16","MLT",80.054,68.683,2327,26690,11.37,8.72
"17","NLD",80.587,69.076,5063,44774,11.51,11.31
"18","POL",76.348,66.056,1432,20883,10.29,6.86
"19","PRT",79.363,68.588,2810,26943,10.78,10.43
"20","ROU",73.81,64.358,964,16580,9.45,5.81
"21","SWE",81.394,69.64,3762,41756,11.75,9.01
