"","country","le","hale","the","gdp","yld","the.gdp"
"1","ALB",73.146,62.998,264,2749,10.15,9.6
"2","ARE",72.715,62.162,2070,74017,10.55,2.8
"3","ARM",70.285,60.569,102,2414,9.72,4.23
"4","ATG",73.131,62.656,617,11087,10.48,5.57
"5","AUS",76.869,66.42,1625,17362,10.45,9.36
"6","AZE",66.74,57.36,139,5502,9.38,2.53
"7","BDI",48.29,41.136,33,678,7.15,4.87
"8","BEN",55.888,46.583,48,941,9.3,5.1
"9","BFA",52.084,43.779,31,531,8.3,5.84
"10","BGD",58.92,49.246,30,834,9.67,3.6
"11","BHR",71.445,60.125,1529,22879,11.32,6.68
"12","BHS",67.405,57.433,1104,15693,9.97,7.03
"13","BLR",70.441,61.151,260,5225,9.29,4.98
"14","BLZ",72.046,61.242,192,3339,10.8,5.75
"15","BOL",62.242,53.191,133,2396,9.05,5.55
"16","BRA",69.108,59.419,522,6622,9.69,7.88
"17","BRB",71.874,61.378,639,8594,10.5,7.44
"18","BRN",74.411,64.881,1688,49815,9.53,3.39
"19","BTN",58.842,49.981,83,1508,8.86,5.5
"20","BWA",66.662,56.607,270,5235,10.06,5.16
"21","CAF",48.33,40.756,21,605,7.57,3.47
"22","CAN",77.196,66.975,2070,20020,10.22,10.34
"23","CHE",77.545,67.501,2568,26734,10.04,9.61
"24","CHL",72.884,63.434,460,4407,9.45,10.44
"25","CHN",69.272,61.702,61,980,7.57,6.22
"26","CIV",55.695,46.842,132,2082,8.85,6.34
"27","CMR",58.304,49.102,59,1789,9.2,3.3
"28","COD",52.929,44.3,17,819,8.63,2.08
"29","COG",54.656,46.002,109,3398,8.65,3.21
"30","COL",71.056,61.127,427,4869,9.93,8.77
"31","COM",57.531,49.503,55,990,8.03,5.56
"32","CPV",69.807,59.123,92,1073,10.68,8.57
"33","CRI",76.647,66.007,404,4713,10.64,8.57
"34","CUB",74.849,64.642,339,8851,10.21,3.83
"35","DEU",75.367,65.307,2276,19033,10.06,11.96
"36","DJI",60.581,51.641,62,2012,8.94,3.08
"37","DMA",70.292,60.233,304,4345,10.06,7
"38","DOM",70.758,60.878,226,3441,9.88,6.57
"39","DZA",70.853,60.321,250,6650,10.53,3.76
"40","ECU",71.978,61.69,189,4829,10.29,3.91
"41","EGY",64.634,53.64,185,3887,10.99,4.76
"42","ETH",46.659,40.236,12,422,6.42,2.84
"43","FJI",65.353,55.989,147,4034,9.36,3.64
"44","FSM",61.071,52.292,212,1786,8.78,11.87
"45","GAB",60.009,50.794,490,12400,9.22,3.95
"46","GEO",70.09,60.806,122,5182,9.28,2.35
"47","GHA",60.543,50.89,74,1241,9.65,5.96
"48","GIN",52.06,43.72,27,727,8.34,3.71
"49","GMB",57.217,48.374,34,980,8.84,3.47
"50","GNB",50.754,42.756,129,974,8,13.24
"51","GNQ",48.694,41.321,71,683,7.37,10.4
"52","GRD",68.867,58.726,380,4840,10.14,7.85
"53","GTM",64.462,55.29,171,3335,9.17,5.13
"54","GUY",64.122,54.63,168,1893,9.49,8.87
"55","HND",68.912,58.806,130,2072,10.11,6.27
"56","IDN",64.969,56.17,82,2894,8.8,2.83
"57","IND",58.299,49.751,63,1146,8.55,5.5
"58","IRN",67.496,57.235,268,6576,10.26,4.08
"59","ISL",77.645,65.529,1913,21807,12.12,8.77
"60","ISR",76.404,66.18,1438,13381,10.22,10.75
"61","JAM",73.568,63.191,260,4774,10.38,5.45
"62","JOR",71.461,60.917,452,4561,10.54,9.91
"63","JPN",79.102,70.063,1578,19230,9.04,8.21
"64","KAZ",66.155,57.347,277,8227,8.81,3.37
"65","KEN",62.957,53.777,58,1536,9.18,3.78
"66","KGZ",65.478,56.178,73,2246,9.3,3.25
"67","KIR",55.956,47.158,99,921,8.8,10.75
"68","KOR",72.132,63.843,493,8436,8.29,5.84
"69","LAO",56.152,48.311,58,1048,7.84,5.53
"70","LBN",71.234,61.355,1218,4999,9.88,24.36
"71","LCA",68.939,58.646,301,5179,10.29,5.81
"72","LKA",72.272,62.108,101,2378,10.16,4.25
"73","LSO",60.863,52.014,80,841,8.85,9.51
"74","MAR",67.396,56.275,113,2542,11.12,4.45
"75","MDA",68.124,59.269,145,4162,8.85,3.48
"76","MDG",56.095,47.644,43,1073,8.45,4.01
"77","MEX",71.525,62.958,388,6019,8.57,6.45
"78","MHL",63.924,54.012,409,1952,9.91,20.95
"79","MKD",70.928,61.236,416,5316,9.69,7.83
"80","MLI",48.659,41.126,47,708,7.53,6.64
"81","MNG",60.47,52.787,82,3311,7.68,2.48
"82","MOZ",49.993,41.851,17,242,8.14,7.02
"83","MRT",60.215,50.318,76,1810,9.9,4.2
"84","MUS",68.944,60.343,239,4891,8.6,4.89
"85","MWI",48.705,41,21,351,7.7,5.98
"86","MYS",71.553,62.07,292,6755,9.48,4.32
"87","NAM",62.402,53.153,239,3695,9.25,6.47
