"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","Comments"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","JOR","Jordan","","2.816","2.81600","","","<b>Nursing and midwifery personnel: </b>Includes Registered nurses, Midwives, Assistant Nurses, Practical Nurses</br><b> Country: </b>Jordan </br><b>Year: </b>2002</br><b> Data Source:</b> Ministry of Health"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","VNM","Viet Nam","","0.324","0.32400","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists of high degree, Pharmacists of middle degree, Assistant pharmacists</br><b> Country: </b>Viet Nam</br><b>Year: </b>2008</br><b> Data Source:</b> General Statistics Office of Vientnam"
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2007","2007","","SEAR","South-East Asia","","BGD","Bangladesh","","0.064","0.06400","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists</br><b> Country: </b>Bangladesh </br><b>Year: </b>2007</br><b> Data Source:</b> HRDU, MOH"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2009","2009","","EUR","Europe","","MLT","Malta","","6.631","6.63100","","","<b>Nursing and Midwifery Personnel: </b>Includes Practising midwives, Practising nurses</br><b> Country: </b>Malta </br><b>Year: </b>2009</br><b> Data Source:</b> WHO/Europe, HlthResDB, September 2014"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2004","2004","","EUR","Europe","","ESP","Spain","","5.483","5.48300","","","<b>Nursing and midwifery personnel: </b>Includes Qualified nurses</br><b> Country: </b>Spain </br><b>Year: </b>2004</br><b> Data Source:</b> Instituto Nacional de Estadistica"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2005","2005","","EUR","Europe","","BEL","Belgium","","2.073","2.07300","","","<b>Physician: </b>Includes Physicians</br><b> Country: </b>Belgium </br><b>Year: </b>2005</br><b> Data Source:</b> Service public f�d�ral Sant� publique, S�curit� de la Cha�ne alimentaire et Environnement"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","JOR","Jordan","","2.561","2.56100","","","<b>Physician: </b>Includes Physicians</br><b> Country: </b>Jordan </br><b>Year: </b>2007</br><b> Data Source:</b> Ministry of Health"
"HRH_26","Physicians density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=112","PUBLISHED","Published","","1994","1994","","EUR","Europe","","LVA","Latvia","","3.413","3.41300","","","<b>Physician: </b>Includes Physicians</br><b> Country: </b>Latvia </br><b>Year: </b>1994</br><b> Data Source:</b> Central Statistical Bureau of Latvia "
"HRH_25","Pharmaceutical personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=320","PUBLISHED","Published","","2010","2010","","SEAR","South-East Asia","","MDV","Maldives","","0.666","0.66600","","","<b>Pharmaceutical personnel: </b>Includes Pharmacists / Pharmacy asst</br><b> Country: </b>Maldives </br><b>Year: </b>2010</br><b> Data Source:</b> Ministry of Health, 2011"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","FJI","Fiji","","2.058","2.05800","","","<b>Nursing and midwifery personnel: </b>Includes Nurses</br><b> Country: </b>Fiji </br><b>Year: </b>2008</br><b> Data Source:</b> Country health information profile(CHIP 2010), WPRO"
"HRH_28","Dentistry personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=87","PUBLISHED","Published","","2007","2007","","AMR","Americas","","PAN","Panama","","0.282","0.28200","","","<b>Dentistry personnel: </b>Includes Odont�logos (Dentists)</br><b> Country: </b>Panama </br><b>Year: </b>2007</br><b> Data Source:</b> Instituto Nacional de Estad�stica y Censo"
"HRH_33","Nursing and midwifery personnel density (per 1000 population)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=105","PUBLISHED","Published","","2010","2010","","AMR","Americas","","PAN","Panama","","2.571","2.57100","","","<b>Nursing and midwifery personnel: </b>Includes Enfermeras, Auxiliar de Enfermerias</br><b> Country: </b>Panama </br><b>Year: </b>2010</br><b> Data Source:</b> Direcci�n de Planificaci�n - Departamento de Registros y Estad�sticas de Salud. MINSA"
