"","country","le","hale","yld","the","worforce"
"1","AUT",80.612,69.134,11.478,4517,9.384
"2","BEL",79.531,68.542,10.989,4058,5.829
"3","BGR",73.526,64.103,9.423,1088,4.778
"4","CYP",80.226,68.825,11.401,2284,3.639
"5","DEU",80.232,69.019,11.213,4426,9.72
"6","DNK",78.911,67.871,11.04,4545,14.342
"7","ESP",81.354,70.92,10.434,3026,4.033
"8","EST",75.89,65.684,10.206,1300,8.842
"9","FIN",80.087,67.304,12.783,3297,15.086
"10","FRA",80.927,69.484,11.443,4039,5.594
"11","GBR",79.906,68.624,11.282,3223,12.208
"12","GRC",79.582,68.668,10.914,2685,3.864
"13","HUN",74.472,64.247,10.225,1701,8.847
"14","IRL",79.926,68.868,11.058,3796,15.197
"15","ITA",81.47,70.17,11.3,3162,5.44
"16","LUX",80.169,68.433,11.736,6521,12.611
"17","LVA",73.87,63.756,10.114,1145,6.867
"18","MLT",80.054,68.683,11.371,2327,6.631
"19","NLD",80.587,69.076,11.511,5063,8.382
"20","POL",76.348,66.056,10.292,1432,4.895
"21","PRT",79.363,68.588,10.775,2810,4.16
"22","ROU",73.81,64.358,9.452,964,0.179
"23","SVK",75.381,65.371,10.01,2039,6.385
"24","SWE",81.394,69.64,11.754,3762,10.235
