"","country.EU","le.EU","hale.EU","the.EU","rn.EU","year.x","md.EU","year.y","yld.EU","CareI.EU","TreatmentI.EU","CareX.EU","CareV.EU"
"1","AUT",80.612,69.134,4517,9.384,2003,3.378,2003,11.478,2.77797513321492,0.294302143230528,0.817564035546263,3692.93674856247
"2","BEL",79.531,68.542,4058,5.829,2003,2.073,2005,10.989,2.81186685962373,0.188643188643189,0.53043953043953,2152.52361452361
"3","BGR",73.526,64.103,1088,4.778,2012,3.76,2010,9.423,1.27074468085106,0.39902366549931,0.507057200466942,551.678234108033
"4","CYP",80.226,68.825,2284,3.639,1990,1.761,1990,11.401,2.0664395229983,0.154460135075871,0.319182527848434,729.012893605824
"5","DEU",80.232,69.019,4426,9.72,2003,3.369,2003,11.213,2.88512911843277,0.300454829216089,0.866850976545082,3836.68242218853
"6","DNK",78.911,67.871,4545,14.342,1994,2.9,1994,11.04,4.94551724137931,0.26268115942029,1.29909420289855,5904.38315217391
"7","ESP",81.354,70.92,3026,4.033,1990,3.784,1990,10.434,1.06580338266385,0.362660532873299,0.386524822695036,1169.62411347518
"8","EST",75.89,65.684,1300,8.842,2000,4.475,2000,10.206,1.97586592178771,0.438467568097198,0.866353125612385,1126.2590632961
"9","FIN",80.087,67.304,3297,15.086,2002,3.165,2002,12.783,4.76650868878357,0.247594461394039,1.18016115152937,3890.99131659235
"10","FRA",80.927,69.484,4039,5.594,1991,3.077,1991,11.443,1.81800454988625,0.268898016254478,0.488857817006029,1974.49672288735
"11","GBR",79.906,68.624,3223,12.208,1997,2.3,1997,11.282,5.30782608695652,0.203864563020741,1.08207764580748,3487.53625243751
"12","GRC",79.582,68.668,2685,3.864,2000,4.38,2001,10.914,0.882191780821918,0.40131940626718,0.354040681693238,950.599230346345
"13","HUN",74.472,64.247,1701,8.847,2003,3.173,1990,10.225,2.78821304758903,0.310317848410758,0.865232273838631,1471.76009779951
"14","IRL",79.926,68.868,3796,15.197,2004,2.786,2004,11.058,5.45477386934673,0.251944293724001,1.3742991499367,5216.8395731597
"15","ITA",81.47,70.17,3162,5.44,2003,4.203,2004,11.3,1.29431358553414,0.371946902654867,0.48141592920354,1522.23716814159
"16","LUX",80.169,68.433,6521,12.611,2013,2.9,2013,11.736,4.34862068965517,0.247102931152011,1.07455691888207,7007.18566803
"17","LVA",73.87,63.756,1145,6.867,1990,4.609,1990,10.114,1.48991104361033,0.455704963417045,0.678959857623096,777.409036978445
"18","MLT",80.054,68.683,2327,6.631,2009,3.073,2009,11.371,2.15782622844126,0.270248878726585,0.583150118723068,1356.99032626858
"19","NLD",80.587,69.076,5063,8.382,2008,3.149,2003,11.511,2.66179739599873,0.273564416644948,0.728173051863434,3686.74016158457
"20","POL",76.348,66.056,1432,4.895,2003,2.469,2003,10.292,1.98258404212232,0.239895064127478,0.475612125923047,681.076564321803
"21","PRT",79.363,68.588,2810,4.16,2002,3.359,2002,10.775,1.23846382852039,0.311740139211137,0.386078886310905,1084.88167053364
"22","ROU",73.81,64.358,964,0.179,2002,1.925,2002,9.452,0.092987012987013,0.20366060093102,0.0189377909437156,18.2560304697419
"23","SVK",75.381,65.371,2039,6.385,2009,3.179,2003,10.01,2.00849323686694,0.317582417582417,0.637862137862138,1300.6008991009
"24","SWE",81.394,69.64,3762,10.235,2002,3.284,2002,11.754,3.11662606577345,0.279394248766377,0.870767398332482,3275.8269525268
