"","country","worforce","year","le","hale","the","yld"
"1","AFG",0.186,2001,57.708,47.329,139,10.379
"2","AGO",0.077,1997,60.707,51.736,236,8.971
"3","ALB",1.144,2009,74.887,64.647,459,10.24
"4","AND",3.697,2003,82.597,70.316,3337,12.281
"5","ARE",2.023,2001,76.257,65.118,1910,11.139
"6","ARG",2.657,1992,75.957,66.114,1312,9.84299999999999
"7","ARM",2.677,2009,73.863,63.68,291,10.183
"8","ATG",0.169,1999,76.488,63.3,1137,13.188
"9","AUS",2.516,1996,81.501,70.096,3761,11.405
"10","AUT",3.378,2003,80.612,69.134,4517,11.478
"11","AZE",3.782,2009,72.536,62.49,831,10.046
"12","BDI",0.028,2004,53.965,46.042,63,7.923
"13","BEL",2.073,2005,79.531,68.542,4058,10.989
"14","BEN",0.045,2004,63.377,53.7,75,9.677
"15","BFA",0.053,2004,55.189,47.133,97,8.056
"16","BGD",0.231,2001,69.005,58.374,74,10.631
"17","BGR",3.76,2010,73.526,64.103,1088,9.423
"18","BHR",1.001,2000,77.56,64.759,1447,12.801
"19","BHS",1.054,1998,75.967,63.226,1643,12.741
"20","BIH",1.65,2009,76.503,66.289,854,10.214
"21","BLR",3.702,2009,69.998,60.915,855,9.08300000000001
"22","BLZ",1.046,2000,71.234,59.352,474,11.882
"23","BOL",1.218,2001,70.711,60.778,283,9.933
"24","BRA",1.088,1990,74.078,63.826,1241,10.252
"25","BRB",1.361,1995,75.613,63.294,1482,12.319
"26","BRN",1.006,2000,77.182,67.267,1893,9.91500000000001
"27","BTN",0.051,2004,69.402,59.701,332,9.701
"28","BWA",0.255,1998,71.014,59.198,735,11.816
"29","CAF",0.085,2004,46.241,39.531,34,6.71
"30","CAN",1.858,1998,80.634,69.598,4468,11.036
"31","CHE",3.615,2002,82.154,70.847,5319,11.307
"32","CHL",1.008,1992,78.544,68.598,1309,9.946
"33","CHN",1.122,1990,75.719,67.771,441,7.94799999999999
"34","CIV",0.123,2004,56.02,47.714,185,8.306
"35","CMR",0.192,2004,59.084,50.196,127,8.88800000000001
"36","COD",0.107,2004,55.192,46.362,28,8.83
"37","COG",0.664,1998,58.835,49.896,124,8.939
"38","COL",0.96,1990,75.014,64.727,714,10.287
"39","COM",0.146,2004,62.76,53.994,80,8.766
"40","CPV",0.488,2004,75.069,63.719,285,11.35
"41","CRI",1.325,2000,79.436,68.878,1167,10.558
"42","CUB",3.64,1990,77.899,65.157,1823,12.742
"43","CYP",1.761,1990,80.226,68.825,2284,11.401
"44","CZE",3.513,2003,77.523,67.243,1930,10.28
"45","DEU",3.369,2003,80.232,69.019,4426,11.213
"46","DJI",0.144,1999,63.189,53.468,229,9.721
"47","DMA",0.5,1997,73.829,61.514,578,12.315
"48","DNK",2.9,1994,78.911,67.871,4545,11.04
"49","DOM",1.876,2000,73.717,62.178,476,11.539
"50","DZA",1.131,2002,75.454,64.204,591,11.25
"51","ECU",0.953,1990,77.018,66.435,531,10.583
"52","EGY",0.535,2003,70.606,59.096,495,11.51
"53","ERI",0.05,2004,60.552,51.172,34,9.38
"54","ESP",3.784,1990,81.354,70.92,3026,10.434
"55","EST",4.475,2000,75.89,65.684,1300,10.206
"56","ETH",0.027,2003,60.858,52.479,52,8.379
"57","FIN",3.165,2002,80.087,67.304,3297,12.783
"58","FJI",0.337,1999,67.153,58.022,297,9.13100000000001
"59","FRA",3.077,1991,80.927,69.484,4039,11.443
"60","FSM",0.598,2000,65.601,56.72,453,8.881
"61","GAB",0.192,1991,58.717,49.816,572,8.901
"62","GBR",2.3,1997,79.906,68.624,3223,11.282
"63","GEO",4.644,2008,72.635,63.04,595,9.59500000000001
"64","GHA",0.152,2004,64.902,55.295,160,9.607
"65","GIN",0.094,2000,59.391,50.161,53,9.23
"66","GMB",0.109,2003,62.249,53.177,93,9.072
"67","GNB",0.122,2004,56.638,47.985,87,8.653
"68","GNQ",0.302,2004,57.714,48.553,1295,9.161
"69","GRC",4.38,2001,79.582,68.668,2685,10.914
"70","GRD",0.5,1997,71.022,59.557,698,11.465
"71","GTM",0.896,1999,70.506,61.018,465,9.488
"72","GUY",0.482,2000,66.017,54.976,195,11.041
"73","HND",0.569,2000,71.839,61.599,354,10.24
"74","HRV",2.097,1990,76.732,65.995,1607,10.737
"75","HTI",0.25,1998,37.191,31.762,105,5.429
"76","HUN",3.173,1990,74.472,64.247,1701,10.225
"77","IDN",0.058,1993,69.723,60.882,230,8.841
"78","IND",1.26,1991,65.213,56.2,174,9.01299999999999
"79","IRL",2.786,2004,79.926,68.868,3796,11.058
"80","IRN",0.871,2004,74.372,63.188,1122,11.184
"81","IRQ",0.607,2010,70.945,60.819,392,10.126
"82","ISL",3.433,2000,82.166,68.377,3415,13.789
"83","ISR",4.842,1995,81.116,69.656,2078,11.46
"84","ITA",4.203,2004,81.47,70.17,3162,11.3
"85","JAM",0.85,2003,75.312,62.842,426,12.47
"86","JOR",1.031,1998,75.442,64.019,905,11.423
"87","JPN",1.714,1990,82.647,73.096,3237,9.551
"88","KAZ",3.687,2009,66.719,58.166,871,8.553
"89","KEN",0.143,2002,64.776,55.495,89,9.281
"90","KGZ",2.398,2008,66.862,57.591,186,9.27099999999999
"91","KHM",0.105,1996,67.503,58.023,143,9.48
"92","KIR",0.238,2008,61.038,51.824,179,9.214
"93","KOR",1.573,2003,79.714,70.301,2069,9.413
"94","KWT",1.248,2006,77.352,65.904,2286,11.448
"95","LAO",0.353,1995,64.655,55.895,90,8.76
"96","LBN",3.253,2001,77.543,66.74,1134,10.803
"97","LBR",0.03,2004,57.158,47.714,78,9.444
"98","LBY",1.29,1997,74.66,62.87,978,11.79
"99","LCA",0.884,2001,73.719,61.571,777,12.148
"100","LKA",0.143,1991,75.457,65.27,254,10.187
"101","LSO",0.049,2003,47.39,40.197,238,7.193
"102","LTU",4.136,1995,74.148,64.29,1387,9.85799999999999
"103","LUX",2.9,2013,80.169,68.433,6521,11.736
"104","LVA",4.609,1990,73.87,63.756,1145,10.114
"105","MAR",0.515,2004,72.653,61.094,282,11.559
"106","MDA",3.072,2010,70.001,61.025,448,8.97600000000001
"107","MDG",0.291,2004,63.59,53.83,68,9.76000000000001
"108","MDV",0.198,1991,78.84,68.048,606,10.792
"109","MEX",1.98,2000,75.466,66.907,1003,8.559
"110","MHL",0.471,2000,63.858,54.377,588,9.48099999999999
"111","MKD",2.624,2009,75.002,64.812,778,10.19
"112","MLI",0.079,2004,57.273,48.553,112,8.72000000000001
"113","MLT",3.073,2009,80.054,68.683,2327,11.371
"114","MMR",0.355,2004,63.864,55.58,31,8.284
"115","MNE",2.087,2009,75.589,64.713,920,10.876
"116","MNG",2.631,2002,64.558,56.454,398,8.10400000000001
"117","MOZ",0.027,2004,52.501,44.538,52,7.963
"118","MRT",0.105,2004,64.47,54.261,105,10.209
"119","MUS",1.057,2004,73.207,63.92,813,9.28699999999999
"120","MWI",0.022,2004,52.884,44.996,68,7.888
"121","MYS",0.702,2000,73.749,64.407,798,9.342
"122","NAM",0.297,2004,61.554,52.499,655,9.055
"123","NER",0.024,2004,57.702,48.892,55,8.81
"124","NGA",0.282,2003,59.57,50.39,174.83284,9.18
"125","NIC",0.374,2003,74.405,64.044,286,10.361
"126","NLD",3.149,2003,80.587,69.076,5063,11.511
"127","NOR",4.159,2009,80.837,67.994,5475,12.843
"128","NPL",0.209,2004,69.204,58.761,115,10.443
"129","NZL",2.366,2001,80.695,69.246,3034,11.449
"130","OMN",0.781,1990,75.884,64.778,601,11.106
"131","PAK",0.515,1992,65.729,56.504,125,9.225
"132","PAN",1.141,1990,76.706,66.49,1178,10.216
"133","PER",1.167,1999,76.416,65.706,484,10.71
"134","PHL",0.585,2000,70.102,60.259,233,9.843
"135","PNG",0.052,2000,58.674,50.429,73,8.245
"136","POL",2.469,2003,76.348,66.056,1432,10.292
"137","PRT",3.359,2002,79.363,68.588,2810,10.775
"138","PRY",1.107,2002,73.205,62.774,605,10.431
"139","QAT",2.217,2001,79.842,66.656,2606,13.186
"140","ROU",1.925,2002,73.81,64.358,964,9.452
"141","RWA",0.051,2004,64.552,54.756,139,9.79600000000001
"142","SAU",0.675,2000,77.129,65.07,1566,12.059
"143","SDN",0.22,2004,68.767,57.028,272,11.739
"144","SEN",0.057,2004,65.318,55.636,99,9.682
"145","SGP",1.359,1999,81.014,71.087,2773,9.92699999999999
"146","SLB",0.127,1999,62.022,54.02,128,8.002
"147","SLE",0.033,2004,58.645,49.106,139,9.539
"148","SLV",1.191,1999,74.234,63.91,491,10.324
"149","SRB",2.114,2009,76.72,65.994,1191,10.726
"150","STP",0.491,2004,70.21,59.568,205,10.642
"151","SUR",0.449,2000,72.622,60.686,899,11.936
"152","SVK",3.179,2003,75.381,65.371,2039,10.01
"153","SWE",3.284,2002,81.394,69.64,3762,11.754
"154","SWZ",0.002,2000,49.388,41.842,508,7.546
"155","SYC",1.513,2004,66.083,58.071,719,8.012
"156","SYR",1.281,1997,77.562,66.004,165,11.558
"157","TCD",0.027,1997,55.48,46.798,64,8.682
"158","TGO",0.045,2004,60.188,50.97,97,9.218
"159","THA",0.232,1991,74.133,65.251,479,8.88199999999999
"160","TJK",2.615,1991,68.317,58.697,125,9.61999999999999
"161","TKM",4.179,2002,69.317,59.969,196,9.34799999999999
"162","TLS",0.004,2001,68.704,58.004,75,10.7
"163","TON",0.343,2001,70.44,60.985,222,9.455
"164","TTO",0.938,1995,70.65,59.4,1494,11.25
"165","TUN",0.539,1990,76.416,65.996,677,10.42
"166","TUR",0.879,1990,74.361,63.851,904,10.51
"167","TZA",0.023,2002,61.719,52.202,106,9.517
"168","UGA",0.083,2004,60.346,51.456,167,8.88999999999999
"169","UKR",3.543,2013,69.717,60.775,599,8.942
"170","URY",3.652,2002,76.537,67.031,1423,9.506
"171","USA",2.395,1995,78.236,67.928,8299,10.308
"172","UZB",2.561,2009,68.84,59.3,226,9.54000000000001
"173","VCT",0.871,1997,72.043,60.232,458,11.811
"174","VEN",1.939,2001,74.535,64.912,795,9.62299999999999
"175","VNM",0.534,2001,75.618,65.836,273,9.782
"176","VUT",0.11,1997,64.326,55.67,134,8.65599999999999
"177","WSM",0.702,1999,70.762,61.466,302,9.296
"178","YEM",0.234,1997,65.825,55.24,136,10.585
"179","ZAF",0.77,2004,59.899,50.982,979,8.917
"180","ZMB",0.137,2004,55.811,47.777,140,8.034
